URN,SCHNAME,PCODE,FIXED_PCODE
139962,Aspire Ap School,B28 9EJ,B28 9BL
135155,Ayesha Siddiqa Girls School,UB1 1LS,UB1 1LR
130524,Barnsley College,S70 2YW,S70 2AX
140492,Beis Medrash Elyon,NW9 7DH,NW9 7DG
146671,Belong School Gloucestershire,GL4 0UF,GL4 0UE
137906,Blenheim High School,KT19 9BH,KT19 9BD
117032,Bredon School,Gl20 5JG,GL20 6AH
136822,Bristol Free School,BS10 6NJ,BS10 6EZ
135252,Broadlands Hall,CB9 7UA,CB9 7TB
148541,Castle EAST School,NR35 1JS,NR35 1JT
140957,"Eden Girls' School, Waltham Forest",E17 5SD,E17 5QJ
145290,Greater Manchester Alternative Provision,ol6 7hw,OL6 7HW
139316,Greenfields Academy,NG31 7US,NG31 7UX
147087,Harbour School Dorset,BH20 6NU,BH20 6PF
148356,Holton Sleaford Independent School,NG34 7RJ,NG34 7PJ
138082,Hull Trinity House Academy,HU3 1UR,HU3 1UP
149271,Iveshead School,LE12 9DB,LE12 9DN
148590,Livingstone Academy Bournemouth,BH1 1PA,BH1 1JH
147983,Millcourt School,HX3 7PA,HX3 7BJ
142485,Northampton International Academy,NN1 1AA,NN1 3DA
147465,Nurture Learning,DY11 6RQ,DY11 6RX
142932,Riverside Meadows Academy,PE19 1EA,PE19 1DZ
148112,Sandwell Learning Centre,OX18 2PY,OX18 2PZ
130902,Spen Brook School,FY4 5AJ,FY4 3LQ
139410,St Andrew the Apostle Greek Orthodox School,N11 1NP,N11 1BF
141565,Tauheedul Islam Girls' High School,BB2 7AD,BB2 7AA
139062,The Dukeries Academy,NG22 9TD,NG22 9TH
144404,The Retreat,Tf6 6pn,TF6 6PN
148058,Wetheringsett Manor School,IP14 5QX,IP14 5PP
148617,XP Gateshead,NE10 9UZ,NE10 9UX
147675,Hamilton School,RG1 5SG,RG1 5SG
